#NAME,sample4,sample3,sample2,sample1
K01756,1.0,1.0,0.0,0.0
K05366,1.0,1.0,1.0,1.0
K07095,1.0,0.0,1.0,1.0
K03699,1.0,1.0,1.0,1.0
K20543,1.0,1.0,1.0,1.0
K06178,1.0,1.0,0.0,0.0
K04487,1.0,1.0,1.0,1.0
K03416,1.0,1.0,1.0,1.0
K21966,1.0,1.0,1.0,1.0
K01958,1.0,1.0,1.0,1.0
K21572,1.0,1.0,1.0,1.0
K01571,1.0,1.0,1.0,1.0
K00627,1.0,1.0,1.0,1.0
K07126,1.0,1.0,1.0,1.0
K11912,1.0,1.0,1.0,1.0
K03530,1.0,2.0,2.0,2.0
K01960,1.0,1.0,1.0,1.0
K02453,1.0,1.0,1.0,1.0
K00983,1.0,1.0,1.0,1.0
K03327,1.0,0.0,1.0,1.0
K00384,1.0,1.0,1.0,1.0
K20140,1.0,1.0,1.0,1.0
K02970,1.0,0.0,1.0,1.0
K06183,1.0,1.0,0.0,0.0
K07347,1.0,1.0,1.0,1.0
K01358,1.0,1.0,1.0,1.0
K01893,1.0,1.0,0.0,0.0
K06926,1.0,2.0,2.0,2.0
K03497,1.0,0.0,0.0,1.0
K02004,1.0,1.0,1.0,1.0
K04761,1.0,1.0,1.0,1.0
K00425,0.0,1.0,1.0,1.0
K01156,0.0,1.0,1.0,1.0
K06966,0.0,1.0,1.0,1.0
K19157,0.0,1.0,1.0,1.0
K01749,0.0,1.0,1.0,1.0
K01966,0.0,1.0,1.0,1.0
K00761,0.0,1.0,1.0,1.0
K06147,0.0,1.0,1.0,1.0
K13542,0.0,1.0,1.0,1.0
K08998,0.0,1.0,1.0,1.0
K01965,0.0,1.0,1.0,1.0
K03088,0.0,1.0,0.0,0.0
K01719,0.0,1.0,1.0,1.0
K01759,0.0,1.0,1.0,1.0
K07316,0.0,1.0,1.0,1.0
K05606,0.0,1.0,1.0,1.0
K03536,0.0,1.0,1.0,1.0
K01849,0.0,1.0,1.0,1.0
K20344,0.0,1.0,1.0,1.0
K07263,0.0,1.0,1.0,1.0
K06871,0.0,1.0,1.0,1.0
K03424,0.0,1.0,1.0,1.0
K00426,0.0,1.0,1.0,1.0
K01572,0.0,1.0,1.0,1.0
K03169,0.0,1.0,0.0,0.0
K03517,0.0,1.0,1.0,1.0
